Steering System Monitor Log
Started: 2025-08-20T15:17:36.768104
Interface: can3
================================================================================

[2025-08-20T15:17:36.768971] Steering System Monitor started on can3
[2025-08-20T15:17:36.771320] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:36.780427] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:36.790488] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:36.790921] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:36.800425] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:36.810481] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:36.811182] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:36.820655] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:36.830692] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:36.831182] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:36.840647] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:36.850680] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:36.851162] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:36.860653] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:36.870702] Angle correlation error: SAS=-186.9, MDPS=0.0
[2025-08-20T15:17:36.871173] Angle correlation error: SAS=-186.9, MDPS=0.0
[2025-08-20T15:17:36.880665] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:36.890686] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:36.891167] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:36.900662] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:36.910689] Angle correlation error: SAS=-186.9, MDPS=0.0
[2025-08-20T15:17:36.911168] Angle correlation error: SAS=-186.9, MDPS=0.0
[2025-08-20T15:17:36.920662] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:36.930686] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:36.931168] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:36.940663] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:36.950687] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:36.951169] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:36.960655] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:36.970678] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:36.971159] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:36.980664] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:36.990688] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:36.991200] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.000658] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.010687] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.011176] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.020672] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.030688] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.031163] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.040680] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.050677] Angle correlation error: SAS=-186.9, MDPS=0.0
[2025-08-20T15:17:37.051164] Angle correlation error: SAS=-186.9, MDPS=0.0
[2025-08-20T15:17:37.060641] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.070699] Angle correlation error: SAS=-186.9, MDPS=0.0
[2025-08-20T15:17:37.071174] Angle correlation error: SAS=-186.9, MDPS=0.0
[2025-08-20T15:17:37.080663] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.090687] Angle correlation error: SAS=-186.8, MDPS=0.0
