timestamp,can_id,message_count,longitudinal_accel_g,longitudinal_accel_status,imu_reset_status,temperature_c,temperature_status,yrs_type,msg_count,crc,raw_data_hex
1755699643.400117,320,840,-0.00012746500000027083,0,0,42,0,2,11,130,FF7F006E20000B82
1755699643.430091,320,843,-0.001147184999999773,0,0,42,0,2,14,57,F77F006E20000E39
1755699643.440129,320,844,-0.0035690199999995897,0,0,42,0,2,15,122,E47F006E20000F7A
1755699643.82991,320,883,-0.002931695000000012,0,0,42,0,2,6,105,E97F006E20000669
1755699643.839901,320,884,-0.00458873999999998,0,0,42,0,2,7,150,DC7F006E20000796
1755699643.849912,320,885,-0.0015295799999996973,0,0,42,0,2,8,144,F47F006E20000890
1755699643.999994,320,900,-0.0007647899999998486,0,0,42,0,2,7,42,FA7F006E2000072A
1755699644.010016,320,901,-0.001147184999999773,0,0,42,0,2,8,119,F77F006E20000877
1755699644.379722,320,938,-0.004078879999999785,0,0,42,0,2,13,41,E07F006E20000D29
1755699644.709683,320,971,-0.0036964849999998606,0,0,42,0,2,14,233,E37F006E20000EE9
1755699644.719728,320,972,-0.008795085000000036,0,0,42,0,2,15,65,BB7F006E20000F41
1755699644.729692,320,973,-0.010707059999999657,0,0,42,0,2,0,205,AC7F006E200000CD
1755699644.739716,320,974,-0.007902829999999916,0,0,42,0,2,1,96,C27F006E20000160
1755699644.749695,320,975,-0.0054809950000000995,0,0,42,0,2,2,112,D57F006E20000270
1755699644.759728,320,976,-0.00828522499999984,0,0,42,0,2,3,180,BF7F006E200003B4
1755699644.769694,320,977,-0.00828522499999984,0,0,42,0,2,4,231,BF7F006E200004E7
1755699644.779717,320,978,-0.00458873999999998,0,0,42,0,2,5,172,DC7F006E200005AC
1755699644.789698,320,979,-0.0015295799999996973,0,0,42,0,2,6,54,F47F006E20000636
1755699644.859719,320,986,-0.0019119749999996216,0,0,42,0,2,13,205,F17F006E20000DCD
1755699645.139743,320,1014,-0.0033140899999999363,0,0,42,0,2,9,142,E67F006E2000098E
1755699645.149708,320,1015,-0.006500714999999602,0,0,42,0,2,10,243,CD7F006E20000AF3
1755699645.159749,320,1016,-0.0021669050000001633,0,0,42,0,2,11,59,EF7F006E20000B3B
1755699645.169715,320,1017,-0.0021669050000001633,0,0,42,0,2,12,104,EF7F006E20000C68
1755699645.179746,320,1018,-0.009559874999999884,0,0,42,0,2,13,122,B57F006E20000D7A
1755699645.189715,320,1019,-0.009687340000000155,0,0,42,0,2,14,0,B47F006E20000E00
1755699645.199747,320,1020,-0.0019119749999996216,0,0,42,0,2,15,247,F17F006E20000FF7
1755699645.269548,320,1027,-0.00458873999999998,0,0,42,0,2,6,139,DC7F006E2000068B
1755699645.279576,320,1028,-0.012491569999999896,0,0,42,0,2,7,242,9E7F006E200007F2
1755699645.28956,320,1029,-0.011089454999999582,0,0,42,0,2,8,17,A97F006E20000811
1755699645.299594,320,1030,-0.0031866249999996654,0,0,42,0,2,9,211,E77F006E200009D3
1755699645.329561,320,1033,-0.0026767650000003584,0,0,42,0,2,12,1,EB7F006E20000C01
1755699645.459593,320,1046,-0.0008922550000001195,0,0,42,0,2,9,107,F97F006E2000096B
1755699645.469744,320,1047,-0.005735924999999753,0,0,42,0,2,10,75,D37F006E20000A4B
1755699645.479772,320,1048,-0.0036964849999998606,0,0,42,0,2,11,128,E37F006E20000B80
1755699645.939379,320,1094,-0.001147184999999773,0,0,42,0,2,9,106,F77F006E2000096A
1755699645.949354,320,1095,-0.0026767650000003584,0,0,42,0,2,10,79,EB7F006E20000A4F
1755699645.959376,320,1096,-0.0008922550000001195,0,0,42,0,2,11,81,F97F006E20000B51
1755699645.969348,320,1097,-0.00012746500000027083,0,0,42,0,2,12,209,FF7F006E20000CD1
1755699646.069604,320,1107,-0.004078879999999785,0,0,42,0,2,6,230,E07F006E200006E6
1755699646.079623,320,1108,-0.01376621999999994,0,0,42,0,2,7,154,947F006E2000079A
1755699646.089358,320,1109,-0.015678194999999562,0,0,42,0,2,8,197,857F006E200008C5
1755699646.099369,320,1110,-0.008922550000000307,0,0,42,0,2,9,82,BA7F006E20000952
1755699646.109356,320,1111,-0.003951415000000402,0,0,42,0,2,10,39,E17F006E20000A27
1755699646.119375,320,1112,-0.0054809950000000995,0,0,42,0,2,11,133,D57F006E20000B85
1755699646.129359,320,1113,-0.004333810000000327,0,0,42,0,2,12,227,DE7F006E20000CE3
1755699646.139372,320,1114,-0.001147184999999773,0,0,42,0,2,13,30,F77F006E20000D1E
1755699646.549388,320,1155,-0.00012746500000027083,0,0,42,0,2,6,3,FF7F006E20000603
1755699646.759283,320,1176,-0.005098600000000175,0,0,42,0,2,11,99,D87F006E20000B63
1755699646.769128,320,1177,-0.012491569999999896,0,0,42,0,2,12,61,9E7F006E20000C3D
1755699646.779244,320,1178,-0.013893685000000211,0,0,42,0,2,13,198,937F006E20000DC6
1755699646.789344,320,1179,-0.00917747999999996,0,0,42,0,2,14,187,B87F006E20000EBB
1755699646.799132,320,1180,-0.004971134999999904,0,0,42,0,2,15,74,D97F006E20000F4A
