Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
67.4,339207538560,5401,62804580.4,33269984.0,11402528,1000132192,95214656.4,pthread_cond_timedwait
22.1,111311130144,55707,1998153.4,13376.0,992,124281216,5730368.5,ioctl
5.9,29575572960,21,1408360617.1,1410043872.0,1374497568,1410149728,7759059.4,sem_timedwait
2.7,13521014848,48,281687809.3,374992.0,40096,2868804896,784126818.3,pthread_cond_wait
0.9,4458840224,4145,1075715.4,1067360.0,26880,13451712,295667.4,poll
0.5,2549910304,211,12084883.0,10077056.0,3068032,100094688,13766777.9,nanosleep
0.1,705279776,239,2950961.4,86976.0,59552,100068928,14456164.7,usleep
0.1,533736960,70811,7537.5,7296.0,2496,558560,8585.0,fopen
0.1,483182592,1653,292306.5,74272.0,4000,921952,258192.7,send
0.0,187578528,20,9378926.4,2860720.0,2527264,22679232,8370950.3,system
0.0,97163584,91,1067731.7,2112.0,1088,60489216,7222602.8,read
0.0,96444672,56672,1701.8,1600.0,1152,461280,3948.4,fclose
0.0,45425152,5712,7952.6,5888.0,992,203840,7794.5,fwrite
0.0,44737568,29,1542674.8,109440.0,16416,9807808,2956347.3,pthread_mutex_lock
0.0,42960832,4536,9471.1,8384.0,2272,136928,7642.0,pthread_cond_signal
0.0,33189920,131,253358.2,10944.0,2496,31392032,2741555.7,open
0.0,15103808,366,41267.2,28704.0,1856,179296,39732.5,mmap
0.0,11291360,836,13506.4,1408.0,992,722976,31189.7,fflush
0.0,5355008,1928,2777.5,2848.0,992,29152,925.7,fcntl
0.0,4336160,25,173446.4,160576.0,106400,318272,57165.7,pthread_create
0.0,2999200,31,96748.4,17696.0,8096,1342624,288748.1,fopen64
0.0,576672,10,57667.2,30960.0,19392,320992,92821.7,sem_wait
0.0,491680,187,2629.3,1152.0,992,12960,2830.1,pthread_cond_broadcast
0.0,361216,82,4405.1,2816.0,1120,45024,6980.0,fgets
0.0,265344,55,4824.4,2368.0,1248,18944,4657.0,write
0.0,171456,47,3648.0,1728.0,1600,17824,3399.0,fputs
0.0,126272,7,18038.9,14688.0,8704,32288,10326.5,socket
0.0,69184,4,17296.0,16256.0,14336,22336,3498.9,accept
0.0,66016,16,4126.0,3872.0,992,9824,2563.3,fread
0.0,40416,4,10104.0,2688.0,1856,33184,15396.0,bind
0.0,37376,18,2076.4,2032.0,1216,3264,636.6,prctl
0.0,36128,1,36128.0,36128.0,36128,36128,0.0,open64
0.0,27360,1,27360.0,27360.0,27360,27360,0.0,writev
0.0,21024,1,21024.0,21024.0,21024,21024,0.0,pipe2
0.0,20096,4,5024.0,5248.0,3264,6336,1287.2,munmap
0.0,16064,4,4016.0,3120.0,2624,7200,2144.5,listen
0.0,4608,1,4608.0,4608.0,4608,4608,0.0,fputs_unlocked
0.0,2496,1,2496.0,2496.0,2496,2496,0.0,signal
0.0,2432,1,2432.0,2432.0,2432,2432,0.0,fputc
